rank,selector,model,mean_cv_score,std_cv_score,params
131,AllFeaturesSelector,RandomForestClassifier,0.7052,0.00174,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 105, 'selector': AllFeaturesSelector()}"
132,EmbeddedDTSelector,RandomForestClassifier,0.70519,0.00017,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': 30, 'model__min_samples_leaf': 1, 'model__n_estimators': 398, 'selector': EmbeddedDTSelector(verbose=False), 'selector__max_depth': 13, 'selector__soglia': 0.02}"
133,ReliefFSelector,RandomForestClassifier,0.70505,0.00175,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__n_estimators': 319, 'selector': ReliefFSelector(verbose=False), 'selector__k': 34, 'selector__n_neighbors': 16, 'selector__n_samples': 500}"
134,SFSSelector,RandomForestClassifier,0.7046,0.00421,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': None, 'model__n_estimators': 259, 'selector': SFSSelector(verbose=False), 'selector__cv': 2, 'selector__k': 20, 'selector__max_depth_dt': 7}"
135,SFSSelector,RandomForestClassifier,0.70438,0.00734,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': None, 'model__n_estimators': 256, 'selector': SFSSelector(verbose=False), 'selector__cv': 2, 'selector__k': 13, 'selector__max_depth_dt': 8}"
136,ReliefFSelector,KNeighborsClassifier,0.70401,0.00146,"{'model': KNeighborsClassifier(), 'model__leaf_size': 25, 'model__metric': 'manhattan', 'model__n_neighbors': 22, 'model__weights': 'distance', 'selector': ReliefFSelector(verbose=False), 'selector__k': 25, 'selector__n_neighbors': 8, 'selector__n_samples': 2000}"
137,ReliefFSelector,KNeighborsClassifier,0.70329,0.00148,"{'model': KNeighborsClassifier(), 'model__leaf_size': 41, 'model__metric': 'manhattan', 'model__n_neighbors': 10, 'model__weights': 'uniform', 'selector': ReliefFSelector(verbose=False), 'selector__k': 23, 'selector__n_neighbors': 9, 'selector__n_samples': 1000}"
138,MutualInfoSelector,KNeighborsClassifier,0.7027,0.00011,"{'model': KNeighborsClassifier(), 'model__leaf_size': 24, 'model__metric': 'manhattan', 'model__n_neighbors': 12, 'model__weights': 'uniform', 'selector': MutualInfoSelector(verbose=False), 'selector__k': 36}"
139,ReliefFSelector,AdaBoostClassifier,0.70266,0.00097,"{'model': AdaBoostClassifier(random_state=42), 'model__estimator': DecisionTreeClassifier(max_depth=1), 'model__learning_rate': 0.1, 'model__n_estimators': 196, 'selector': ReliefFSelector(verbose=False), 'selector__k': 30, 'selector__n_neighbors': 7, 'selector__n_samples': 1000}"
140,SFSSelector,RandomForestClassifier,0.70242,0.00552,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': 'balanced', 'model__max_depth': 20, 'model__n_estimators': 233, 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 12, 'selector__max_depth_dt': 9}"
141,MutualInfoSelector,KNeighborsClassifier,0.70226,0.00048,"{'model': KNeighborsClassifier(), 'model__leaf_size': 40, 'model__metric': 'manhattan', 'model__n_neighbors': 16, 'model__weights': 'distance', 'selector': MutualInfoSelector(verbose=False), 'selector__k': 36}"
142,ReliefFSelector,KNeighborsClassifier,0.70185,0.00109,"{'model': KNeighborsClassifier(), 'model__leaf_size': 36, 'model__metric': 'manhattan', 'model__n_neighbors': 19, 'model__weights': 'distance', 'selector': ReliefFSelector(verbose=False), 'selector__k': 34, 'selector__n_neighbors': 12, 'selector__n_samples': 500}"
143,SFSSelector,RandomForestClassifier,0.70177,0.01283,"{'model': RandomForestClassifier(random_state=42), 'model__class_weight': None, 'model__max_depth': None, 'model__n_estimators': 170, 'selector': SFSSelector(verbose=False), 'selector__cv': 2, 'selector__k': 17, 'selector__max_depth_dt': 5}"
144,AllFeaturesSelector,KNeighborsClassifier,0.70162,0.00093,"{'model': KNeighborsClassifier(), 'model__leaf_size': 21, 'model__metric': 'manhattan', 'model__n_neighbors': 19, 'model__weights': 'distance', 'selector': AllFeaturesSelector()}"
145,MutualInfoSelector,KNeighborsClassifier,0.70114,0.00118,"{'model': KNeighborsClassifier(), 'model__leaf_size': 47, 'model__metric': 'manhattan', 'model__n_neighbors': 9, 'model__weights': 'uniform', 'selector': MutualInfoSelector(verbose=False), 'selector__k': 31}"
146,SFSSelector,KNeighborsClassifier,0.70043,0.00205,"{'model': KNeighborsClassifier(), 'model__metric': 'manhattan', 'model__n_neighbors': 8, 'model__weights': 'uniform', 'selector': SFSSelector(verbose=False), 'selector__cv': 3, 'selector__k': 20, 'selector__max_depth_dt': 11}"
147,MutualInfoSelector,KNeighborsClassifier,0.7003,0.00139,"{'model': KNeighborsClassifier(), 'model__leaf_size': 43, 'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'uniform', 'selector': MutualInfoSelector(verbose=False), 'selector__k': 24}"
